t=0.000 psi=90.000 ksi=0.000 v_p=0.248  d= 0.037
t=0.150 psi=89.100 ksi=1.800 v_p=0.248  d= 0.074
t=0.300 psi=88.200 ksi=3.600 v_p=0.246  d= 0.111
t=0.450 psi=87.300 ksi=5.400 v_p=0.245  d= 0.148
t=0.600 psi=86.400 ksi=7.200 v_p=0.242  d= 0.184
t=0.750 psi=85.500 ksi=9.000 v_p=0.240  d= 0.220
t=0.900 psi=84.600 ksi=10.800 v_p=0.237  d= 0.256
t=1.050 psi=83.700 ksi=12.600 v_p=0.234  d= 0.291
t=1.200 psi=82.800 ksi=14.400 v_p=0.231  d= 0.326
t=1.350 psi=81.900 ksi=16.200 v_p=0.227  d= 0.360
t=1.500 psi=81.000 ksi=18.000 v_p=0.224  d= 0.393
t=1.650 psi=80.100 ksi=19.800 v_p=0.220  d= 0.426
t=1.800 psi=79.200 ksi=21.600 v_p=0.215  d= 0.458
t=1.950 psi=78.300 ksi=23.400 v_p=0.210  d= 0.490
t=2.100 psi=77.400 ksi=25.200 v_p=0.205  d= 0.521
t=2.250 psi=76.500 ksi=27.000 v_p=0.200  d= 0.551
t=2.400 psi=75.600 ksi=28.800 v_p=0.195  d= 0.580
t=2.550 psi=74.700 ksi=30.600 v_p=0.188  d= 0.608
t=2.700 psi=73.800 ksi=32.400 v_p=0.182  d= 0.636
t=2.850 psi=72.900 ksi=34.200 v_p=0.176  d= 0.662
t=3.000 psi=72.000 ksi=36.000 v_p=0.169  d= 0.687
t=3.150 psi=71.100 ksi=37.800 v_p=0.162  d= 0.712
t=3.300 psi=70.200 ksi=39.600 v_p=0.156  d= 0.735
t=3.450 psi=69.300 ksi=41.400 v_p=0.148  d= 0.757
t=3.600 psi=68.400 ksi=43.200 v_p=0.140  d= 0.778
t=3.750 psi=67.500 ksi=45.000 v_p=0.132  d= 0.798
t=3.900 psi=66.600 ksi=46.800 v_p=0.124  d= 0.817
t=4.050 psi=65.700 ksi=48.600 v_p=0.116  d= 0.834
t=4.200 psi=64.800 ksi=50.400 v_p=0.107  d= 0.850
t=4.350 psi=63.900 ksi=52.200 v_p=0.098  d= 0.865
t=4.500 psi=63.000 ksi=54.000 v_p=0.089  d= 0.878
t=4.650 psi=62.100 ksi=55.800 v_p=0.080  d= 0.890
t=4.800 psi=61.200 ksi=57.600 v_p=0.071  d= 0.901
t=4.950 psi=60.300 ksi=59.400 v_p=0.061  d= 0.910
t=5.100 psi=59.400 ksi=61.200 v_p=0.053  d= 0.918
t=5.250 psi=58.500 ksi=63.000 v_p=0.045  d= 0.925
t=5.400 psi=57.600 ksi=64.800 v_p=0.037  d= 0.930
t=5.550 psi=56.700 ksi=66.600 v_p=0.030  d= 0.935
t=5.700 psi=55.800 ksi=68.400 v_p=0.024  d= 0.938
t=5.850 psi=54.900 ksi=70.200 v_p=0.019  d= 0.941
t=6.000 psi=54.000 ksi=72.000 v_p=0.014  d= 0.943
t=6.150 psi=53.100 ksi=73.800 v_p=0.010  d= 0.945
t=6.300 psi=52.200 ksi=75.600 v_p=0.006  d= 0.946
t=6.450 psi=51.300 ksi=77.400 v_p=0.004  d= 0.946
t=6.600 psi=50.400 ksi=79.200 v_p=0.002  d= 0.947
t=6.750 psi=49.500 ksi=81.000 v_p=0.001  d= 0.947
t=6.900 psi=48.600 ksi=82.800 v_p=0.000  d= 0.947
t=7.050 psi=47.700 ksi=84.600 v_p=0.000  d= 0.947
t=7.200 psi=46.800 ksi=86.400 v_p=0.000  d= 0.947
t=7.350 psi=45.900 ksi=88.200 v_p=0.000  d= 0.947
t=7.500 psi=45.000 ksi=90.000 v_p=0.000  d= 0.947
t=7.650 psi=44.100 ksi=91.800 v_p=0.000  d= 0.947
t=7.800 psi=43.200 ksi=93.600 v_p=0.000  d= 0.947
t=7.950 psi=42.300 ksi=95.400 v_p=0.000  d= 0.947
t=8.100 psi=41.400 ksi=97.200 v_p=0.000  d= 0.947
